epoch,accuracy,loss,val_accuracy,val_loss
0,0.3375000059604645,1.898655652999878,0.5104166865348816,1.536600947380066
1,0.5299999713897705,1.363028883934021,0.6614583134651184,1.1313025951385498
2,0.6887500286102295,1.0358967781066895,0.703125,1.0020837783813477
3,0.7762500047683716,0.7743306159973145,0.7604166865348816,0.7657158970832825
4,0.8462499976158142,0.605883002281189,0.8125,0.7053603529930115
5,0.8537499904632568,0.5343080163002014,0.828125,0.5777357816696167
6,0.9049999713897705,0.42352259159088135,0.84375,0.5419925451278687
7,0.918749988079071,0.37181025743484497,0.875,0.5063328742980957
8,0.9262499809265137,0.33290740847587585,0.921875,0.3734341561794281
9,0.9449999928474426,0.279672235250473,0.9010416865348816,0.3881373703479767
10,0.9750000238418579,0.21658296883106232,0.890625,0.4242878258228302
11,0.9850000143051147,0.18921257555484772,0.9114583134651184,0.35820913314819336
12,0.9900000095367432,0.16541148722171783,0.9375,0.292561799287796
13,0.9925000071525574,0.13966432213783264,0.9270833134651184,0.3434053361415863
14,0.9912499785423279,0.133859783411026,0.9479166865348816,0.31152817606925964
15,0.9950000047683716,0.11898891627788544,0.921875,0.3071710765361786
16,0.9962499737739563,0.11194644868373871,0.9375,0.30352339148521423
17,0.9975000023841858,0.10024864226579666,0.9375,0.2890712320804596
18,1.0,0.09042114019393921,0.9635416865348816,0.2513161599636078
19,0.9987499713897705,0.08644124865531921,0.9427083134651184,0.28793779015541077
20,1.0,0.080266073346138,0.9375,0.2809005081653595
21,1.0,0.07772942632436752,0.9322916865348816,0.26025617122650146
22,1.0,0.07581593841314316,0.9375,0.2998582720756531
23,1.0,0.07284998148679733,0.9322916865348816,0.28458860516548157
24,1.0,0.0666244626045227,0.9427083134651184,0.2788490056991577
